,year,maxtemp,averagetemp,minimumtemp,state
0,1998,28.137,18.786833333333337,9.114,AL
1,1998,12.898,-3.063,-20.216,AK
2,1998,27.553,15.258083333333333,5.632000000000001,AZ
3,1998,29.056,17.487916666666667,6.694,AR
4,1998,25.137,13.905583333333333,5.4940000000000015,CA
5,1998,20.646,7.808333333333334,-3.4,CO
6,1998,22.031,11.117166666666668,1.1960000000000002,CT
7,1998,24.31900000000001,13.89033333333333,5.019,DE
8,1998,24.557,14.073583333333332,4.305,DC
9,1998,29.012,22.955249999999996,16.164,FL
10,1998,28.342,19.15833333333333,10.06,GA
11,1998,24.496,22.571250000000003,20.954,HI
12,1998,20.307,6.432166666666666,-5.952999999999999,ID
13,1998,24.613000000000003,13.229833333333332,0.1980000000000004,IL
14,1998,23.903,13.242583333333334,1.6780000000000004,IN
15,1998,23.991,11.053833333333335,-4.314,IA
16,1998,26.927000000000003,13.78575,0.4830000000000001,KS
17,1998,25.048,14.897916666666667,4.8450000000000015,KY
18,1998,29.89,20.643416666666667,12.054,LA
19,1998,18.955,6.562083333333331,-7.348,ME
20,1998,24.426,14.175666666666666,4.845,MD
21,1998,21.006,9.848250000000002,-1.3899999999999997,MA
22,1998,20.935,9.387000000000002,-3.446,MI
23,1998,20.948,7.432416666666668,-9.729,MN
24,1998,28.804,19.27508333333333,9.671,MS
25,1998,26.111,14.31075,1.7560000000000002,MO
26,1998,20.751,6.696583333333333,-7.364999999999998,MT
27,1998,24.467,10.608,-2.99,NE
28,1998,23.355,9.609583333333333,-1.3869999999999998,NV
29,1998,19.812,8.02075,-4.896000000000001,NH
30,1998,23.462,12.784999999999998,3.25,NJ
31,1998,23.96,12.57741666666667,2.609,NM
32,1998,20.898000000000003,9.686416666666668,-2.197,NY
33,1998,26.214,16.43566666666667,7.21,NC
34,1998,21.857,6.509083333333334,-11.814,ND
35,1998,23.181,12.644083333333334,2.138,OH
36,1998,30.324,17.063833333333335,4.8740000000000006,OK
37,1998,20.404000000000003,8.897083333333335,-0.98,OG
38,1998,22.044,11.472416666666668,1.4329999999999998,PA
39,1998,21.948,11.054333333333334,1.128,RI
40,1998,28.344,18.638749999999998,9.403,SC
41,1998,23.503,8.929083333333333,-6.8210000000000015,SD
42,1998,26.034,15.936083333333334,6.0520000000000005,TN
43,1998,30.463,19.608166666666666,8.978,TX
44,1998,22.765,8.716416666666666,-3.01,UT
45,1998,19.551,7.861250000000001,-5.366000000000001,VT
46,1998,24.722,14.636333333333333,5.151,VA
47,1998,20.35,9.123000000000001,-1.156,WA
48,1998,22.84800000000001,12.893083333333337,3.4360000000000004,WV
49,1998,21.109,8.905333333333335,-6.0310000000000015,WI
50,1998,20.151,6.04475,-5.891,WY
51,1999,28.234,18.271083333333337,8.661999999999999,AL
52,1999,11.814,-5.627833333333332,-22.132,AK
53,1999,25.96,16.00025,5.2940000000000005,AZ
54,1999,27.886000000000006,17.021000000000004,6.013,AR
55,1999,23.032,14.53525,7.2269999999999985,CA
56,1999,20.226,8.016166666666667,-2.657,CO
57,1999,23.404,10.844666666666667,-1.485,CT
58,1999,26.102,13.328999999999999,2.781,DE
59,1999,26.653,13.189000000000002,1.445,DC
60,1999,28.63000000000001,22.271916666666666,15.995,FL
61,1999,28.242,18.502916666666668,9.309,GA
62,1999,24.205,22.557083333333335,20.889,HI
63,1999,18.186,6.087000000000001,-4.17,ID
64,1999,26.396,12.33416666666667,-3.622,IL
65,1999,26.256,12.304999999999998,-2.4530000000000003,IN
66,1999,25.671,10.417416666666666,-7.77,IA
67,1999,27.432,13.613916666666668,-0.036,KS
68,1999,26.873,14.328249999999999,2.907,KY
69,1999,29.641,20.251833333333334,10.918,LA
70,1999,19.925,6.748499999999999,-9.344,ME
71,1999,26.274,13.406333333333336,2.531,MD
72,1999,22.47,9.567333333333332,-4.042,MA
73,1999,22.25500000000001,8.352500000000001,-7.366,MI
74,1999,22.122,6.7813333333333325,-13.075,MN
75,1999,28.687,18.82766666666667,9.037,MS
76,1999,27.228,13.866166666666667,-0.8360000000000001,MO
77,1999,19.304,6.798750000000001,-5.597999999999999,MT
78,1999,24.926,10.801666666666668,-3.2060000000000004,NE
79,1999,22.06900000000001,10.326416666666669,-0.0769999999999999,NV
80,1999,21.189,7.667916666666667,-7.324,NH
81,1999,25.552,12.170250000000001,0.248,NJ
82,1999,22.864,12.6245,1.185,NM
83,1999,22.673,8.915083333333332,-5.757000000000001,NY
84,1999,26.405,15.809583333333334,6.778,NC
85,1999,21.039,6.4188333333333345,-13.613,ND
86,1999,25.633000000000006,11.731250000000001,-1.83,OH
87,1999,29.021,16.691583333333334,4.466,OK
88,1999,18.149,8.540999999999999,1.009,OG
89,1999,24.092,10.545833333333334,-2.458,PA
90,1999,23.317,10.823083333333331,-1.477,RI
91,1999,28.177,17.95275,8.824,SC
92,1999,23.422,9.10275,-7.844000000000001,SD
93,1999,26.738000000000003,15.42075,5.382000000000001,TN
94,1999,29.36,19.383166666666664,9.213,TX
95,1999,21.673,9.225583333333335,-2.232,UT
96,1999,21.085,7.423416666666665,-7.841000000000001,VT
97,1999,25.929,13.973166666666666,4.23,VA
98,1999,18.517,8.242666666666667,0.9210000000000004,WA
99,1999,24.959000000000003,12.188749999999999,1.4169999999999998,WV
100,1999,22.834000000000003,7.84,-10.537,WI
101,1999,19.067,6.413333333333333,-4.02,WY
102,2000,28.149,17.91133333333333,4.223999999999998,AL
103,2000,11.046,-3.3017499999999997,-20.109,AK
104,2000,27.692,16.510250000000003,6.513000000000001,AZ
